Time[fs] MSD(Mn) MSD(O) MSD(Y) VAC(Mn) VAC(O) VAC(Y) Samples(Mn) Samples(O) Samples(Y) VAC_trunc(Mn) VAC_trunc(O) VAC_trunc(Y) Jt 
207 0.00272775 0.00290181 0.0033103 0.0161334 0.0319075 0.0166544 7704 7704 23112 0.0159856 0.0316151 0.0165018 0.0108463
208.5 0.00272825 0.00290243 0.00330762 0.017968 0.0336394 0.0250051 7704 7704 23112 0.0178009 0.0333267 0.0247727 0.0250894
210 0.0027289 0.00290361 0.00330524 0.0194496 0.0344687 0.0316173 7704 7704 23112 0.0192662 0.0341436 0.0313191 0.0337146
211.5 0.00272978 0.00290488 0.00330374 0.0190411 0.0360337 0.0366617 7704 7704 23112 0.0188589 0.035689 0.0363111 0.0423375
213 0.00273071 0.00290639 0.00330361 0.018602 0.0369519 0.0410752 7704 7704 23112 0.0184215 0.0365934 0.0406767 0.0479904
214.5 0.00273152 0.00290809 0.00330425 0.0183777 0.0374012 0.0439432 7704 7704 23112 0.0181969 0.0370332 0.0435109 0.0432771
216 0.00273245 0.00291023 0.00330569 0.0176602 0.0385987 0.0457462 7704 7704 23112 0.017484 0.0382137 0.0452899 0.0426849
217.5 0.00273308 0.00291248 0.00330823 0.016568 0.0393652 0.0467063 7704 7704 23112 0.0164004 0.038967 0.0462338 0.0472693
219 0.0027339 0.00291468 0.0033119 0.0165171 0.0409193 0.0470581 7704 7704 23112 0.0163477 0.0404997 0.0465755 0.0508206
220.5 0.00273453 0.00291742 0.00331654 0.0184453 0.0418425 0.0461391 7704 7704 23112 0.0182535 0.0414075 0.0456594 0.0448672
222 0.00273522 0.00292025 0.00332222 0.0188239 0.0424217 0.0430781 7704 7704 23112 0.0186255 0.0419747 0.0426242 0.0450175
223.5 0.00273643 0.00292337 0.00332894 0.0193639 0.0440282 0.0393846 7704 7704 23112 0.0191571 0.043558 0.0389639 0.0484962
225 0.00273794 0.00292711 0.0033364 0.0209403 0.044184 0.0344705 7704 7704 23112 0.0207137 0.0437058 0.0340974 0.038506
226.5 0.00273967 0.00293097 0.00334466 0.0214498 0.0448642 0.029233 7704 7704 23112 0.0212145 0.0443722 0.0289124 0.0240948
228 0.00274146 0.00293516 0.00335411 0.0240775 0.0448478 0.024971 7704 7704 23112 0.0238099 0.0443494 0.0246935 0.0137423
229.5 0.00274319 0.00293946 0.00336417 0.0253003 0.0438222 0.0195748 7704 7704 23112 0.0250155 0.0433287 0.0193544 0.0120427
231 0.00274502 0.00294423 0.00337425 0.0252121 0.0428715 0.0127021 7704 7704 23112 0.0249245 0.0423825 0.0125572 0.00245993
232.5 0.00274656 0.00294903 0.00338463 0.0256068 0.0419032 0.00598917 7704 7704 23112 0.0253109 0.041419 0.00591996 -0.00524286
234 0.00274831 0.00295382 0.00339509 0.0271442 0.0424725 -0.000209459 7704 7704 23112 0.0268264 0.0419754 -0.000207007 -0.00553399
235.5 0.00274995 0.0029592 0.00340561 0.0303903 0.0413869 -0.00566999 7704 7704 23112 0.03003 0.0408962 -0.00560278 -0.00533068
237 0.00275178 0.00296458 0.00341591 0.0306396 0.0399608 -0.0112017 7704 7704 23112 0.0302717 0.039481 -0.0110672 -0.00259562
238.5 0.00275407 0.00297025 0.0034258 0.030608 0.0402612 -0.0172598 7704 7704 23112 0.0302358 0.0397717 -0.0170499 -0.00294077
240 0.00275678 0.00297658 0.00343496 0.0321443 0.0386804 -0.022206 7704 7704 23112 0.0317486 0.0382042 -0.0219326 -0.00719557
241.5 0.00275972 0.00298294 0.00344356 0.0333152 0.038771 -0.0253975 7704 7704 23112 0.0328999 0.0382876 -0.0250809 -0.0142087
243 0.00276283 0.00298975 0.00345219 0.0371574 0.0404342 -0.0279777 7704 7704 23112 0.0366884 0.0399239 -0.0276246 -0.0111392
244.5 0.00276598 0.00299666 0.0034604 0.0390515 0.0399334 -0.0291884 7704 7704 23112 0.0385526 0.0394232 -0.0288154 0.0041598
246 0.00276925 0.00300404 0.00346762 0.039402 0.0384917 -0.0304145 7704 7704 23112 0.0388924 0.0379939 -0.0300212 0.0103268
247.5 0.00277227 0.00301138 0.00347398 0.0419734 0.0374971 -0.0317496 7704 7704 23112 0.0414239 0.0370062 -0.031334 0.0106648
249 0.0027756 0.00301867 0.00347954 0.0449334 0.0382383 -0.0310642 7704 7704 23112 0.044338 0.0377316 -0.0306526 0.0144733
250.5 0.00277891 0.00302662 0.00348463 0.0476139 0.0380779 -0.0288981 7704 7704 23112 0.0469754 0.0375673 -0.0285105 0.0239213
252 0.00278252 0.00303446 0.00348922 0.0478036 0.0381463 -0.0258991 7704 7704 23112 0.0471549 0.0376286 -0.0255476 0.0305582
253.5 0.00278653 0.00304262 0.00349317 0.046988 0.0369679 -0.0234573 7704 7704 23112 0.0463427 0.0364602 -0.0231352 0.030085
255 0.00279102 0.00305137 0.00349602 0.047128 0.0337035 -0.0202088 7704 7704 23112 0.0464732 0.0332352 -0.019928 0.0368238
256.5 0.00279576 0.00305997 0.00349848 0.0483064 0.0333516 -0.0161763 7704 7704 23112 0.0476273 0.0328828 -0.0159489 0.0458598
258 0.00280079 0.00306917 0.00350125 0.0522296 0.0354522 -0.0131228 7704 7704 23112 0.0514867 0.0349479 -0.0129361 0.0502939
259.5 0.00280604 0.00307852 0.00350392 0.0541147 0.0354804 -0.00806292 7704 7704 23112 0.0533361 0.0349699 -0.00794691 0.0566625
261 0.00281138 0.00308828 0.00350657 0.0542208 0.0338646 -0.0022862 7704 7704 23112 0.0534316 0.0333717 -0.00225292 0.0622542
262.5 0.00281655 0.0030979 0.0035089 0.0560994 0.0335257 0.00166483 7704 7704 23112 0.0552735 0.0330321 0.00164032 0.0597413
